operator_id,name,experience_years,skill_level,training_score,safety_score,average_task_accuracy,average_task_time,incident_count,fatigue_score,certification_status
OP065,Li Vance,0.7,Beginner,87.2,81.6,88.3,51.0,1,13.6,Certified
OP066,Li Torres,3.8,Intermediate,81.4,81.9,97.5,56.9,1,20.5,Certified
OP067,Carlos Johnson,4.1,Intermediate,89.4,83.1,98.1,38.6,0,11.9,Certified
OP068,Carlos O'Connor,0.6,Beginner,73.6,68.0,80.7,56.1,1,25.3,Pending Recertification
OP069,Jake Johnson,6.2,Intermediate,96.4,88.0,92.3,47.4,1,9.7,Certified
OP070,Sarah Gomez,2.2,Beginner,88.4,76.7,77.5,52.0,3,16.1,Certified
OP071,Fatima Kowalski,1.3,Beginner,77.1,73.4,81.0,49.3,1,18.4,Certified
OP072,David Dubois,3.1,Intermediate,91.0,83.8,91.7,56.8,2,10.2,Certified
OP073,Kenji Al-Mansoor,13.8,Expert,100.0,100.0,99.3,44.9,0,11.9,Certified
OP074,Chloe Silva,4.0,Intermediate,86.7,79.0,90.8,46.6,1,20.1,Certified
OP075,Aisha Patel,3.8,Intermediate,89.2,84.7,88.6,51.2,0,13.2,Certified
OP076,Li Torres,6.2,Intermediate,91.6,91.8,97.8,56.0,1,16.4,Certified
OP077,James Miller,9.4,Expert,96.3,95.6,98.2,60.7,1,13.2,Certified
OP078,Li Patel,1.4,Beginner,82.4,82.1,81.9,52.8,2,25.6,Certified
OP079,Marcus Torres,9.0,Expert,93.0,87.9,92.3,49.3,1,20.6,Certified
OP080,Elena Patel,2.9,Intermediate,93.5,86.9,92.4,54.8,1,22.6,Certified
OP081,Carlos Vance,2.5,Intermediate,86.9,89.7,94.5,67.6,2,9.3,Certified
OP082,James Torres,7.3,Expert,96.2,92.1,95.8,58.3,1,13.9,Certified
OP083,Li Gomez,1.1,Beginner,77.3,87.0,81.9,51.2,4,11.8,Certified
OP084,Mateo Kowalski,1.5,Beginner,81.0,69.3,88.2,55.5,3,39.1,Certified
OP085,Jake Johnson,5.2,Intermediate,92.6,88.5,93.9,54.3,1,33.1,Certified
OP086,Li Johnson,3.3,Intermediate,89.9,94.7,92.4,68.9,1,22.2,Certified
OP087,Fatima Kowalski,3.0,Intermediate,86.9,87.2,88.0,43.9,2,28.2,Certified
OP088,Aisha Khan,3.5,Intermediate,87.7,83.9,86.0,53.6,0,7.4,Certified
OP089,Fatima Al-Mansoor,3.2,Intermediate,92.5,86.8,99.4,60.5,0,9.9,Certified
OP090,Fatima Schmidt,16.7,Expert,95.2,96.8,94.2,48.3,0,19.3,Certified
OP091,Chloe Vance,5.0,Intermediate,88.9,88.1,92.8,52.1,0,38.6,Certified
OP092,Aisha Vance,0.8,Beginner,78.5,70.3,91.5,47.6,2,19.6,Certified
OP093,Kenji Sato,1.5,Beginner,75.3,68.1,78.4,64.9,0,21.9,Certified
OP094,Aisha Patel,5.9,Intermediate,92.6,84.1,87.5,53.2,0,17.0,Certified
OP095,David Kowalski,1.5,Beginner,84.3,69.4,82.8,52.2,4,12.7,Certified
OP096,Chloe O'Connor,11.8,Expert,97.0,91.7,93.9,42.8,0,11.5,Certified
OP097,Fatima Chen,2.9,Intermediate,92.0,80.2,86.9,64.4,1,19.7,Certified
OP098,Vikram Silva,7.7,Expert,98.9,94.7,96.9,64.9,1,23.4,Certified
OP099,Li Torres,2.0,Beginner,78.9,79.2,84.1,56.3,1,19.6,Certified
OP100,Chloe Khan,2.1,Beginner,92.0,71.2,87.6,55.7,2,25.9,Certified
